Instance,Swaps,Group,Ours,Theirs
5x5_013,0,5 wires,0.0000213,0.086714488
5x5_005,1,5 wires,0.000041,0.118517767
5x5_001,2,5 wires,0.0000915,0.161572703
5x5_003,3,5 wires,0.0000936,0.166043108
5x5_004,3,5 wires,0.00012621,0.16114544
5x5_011,3,5 wires,0.000129006,0.157604107
5x5_014,4,5 wires,0.000276655,0.1943879
5x5_007,5,5 wires,0.000421888,0.222127728
5x5_009,5,5 wires,0.000303302,0.189825834
5x5_012,5,5 wires,0.000360676,0.212053053
5x5_010,6,5 wires,0.000643043,0.246315732
5x5_002,7,5 wires,0.00096693,0.242593925
5x5_006,8,5 wires,0.001617537,0.277336809
5x5_008,8,5 wires,0.001538851,0.249439816
extra_5x5_10-0,10,5 wires,0.001798908,0.265720717
extra_5x5_10-1,10,5 wires,0.000779329,0.055899297
extra_5x5_10-2,10,5 wires,0.002636087,0.258307556
extra_5x5_10-3,10,5 wires,0.00174658,0.292648518
extra_5x5_10-4,10,5 wires,0.001109598,0.058272778
extra_5x5_10-5,10,5 wires,0.002458464,0.26407251
extra_5x5_10-6,10,5 wires,0.000955141,0.053965518
extra_5x5_10-7,10,5 wires,0.001532963,0.057059125
extra_5x5_10-8,10,5 wires,0.000928225,0.055044191
extra_5x5_10-9,10,5 wires,0.002109197,0.281470894
extra_5x5_11-0,11,5 wires,0.005976574,0.261194342
extra_5x5_11-1,11,5 wires,0.005218827,0.281041849
extra_5x5_11-2,11,5 wires,0.002723053,0.310087946
extra_5x5_11-3,11,5 wires,0.003714835,0.26441764
extra_5x5_11-4,11,5 wires,0.003780286,0.30209669
extra_5x5_11-5,11,5 wires,0.003235959,0.260814425
extra_5x5_11-6,11,5 wires,0.006036653,0.258927215
extra_5x5_11-7,11,5 wires,0.001170936,0.061165962
extra_5x5_11-8,11,5 wires,0.003311308,0.297571793
extra_5x5_11-9,11,5 wires,0.001951904,0.285820986
extra_5x5_12-0,12,5 wires,0.006238896,0.355467427
extra_5x5_12-1,12,5 wires,0.002413389,0.319776487
extra_5x5_12-2,12,5 wires,0.005288993,0.361617893
extra_5x5_12-3,12,5 wires,0.006461163,0.353368635
extra_5x5_12-4,12,5 wires,0.006454976,0.320966378
extra_5x5_12-5,12,5 wires,0.001718597,0.069805638
extra_5x5_12-6,12,5 wires,0.001719313,0.068037016
extra_5x5_12-7,12,5 wires,0.004974455,0.305334256
extra_5x5_12-8,12,5 wires,0.004731931,0.305160355
extra_5x5_12-9,12,5 wires,0.002943775,0.09859604
extra_5x5_13-0,13,5 wires,0.00426753,0.361711861
extra_5x5_13-1,13,5 wires,0.007651544,0.358630587
extra_5x5_13-2,13,5 wires,0.004754587,0.412204674
extra_5x5_13-3,13,5 wires,0.006439501,0.35920388
extra_5x5_13-4,13,5 wires,0.008602401,0.32817221
extra_5x5_13-5,13,5 wires,0.004562625,0.392314124
extra_5x5_13-6,13,5 wires,0.007183478,0.498582182
extra_5x5_13-7,13,5 wires,0.008226641,0.361938382
extra_5x5_13-8,13,5 wires,0.00963675,0.358077654
extra_5x5_13-9,13,5 wires,0.00364719,0.078591719
extra_5x5_14-0,14,5 wires,0.011517477,0.449351137
extra_5x5_14-1,14,5 wires,0.003654099,0.074670407
extra_5x5_14-2,14,5 wires,0.009792023,0.461675122
extra_5x5_14-3,14,5 wires,0.016959213,0.460492906
extra_5x5_14-4,14,5 wires,0.011272593,0.437372477
extra_5x5_14-5,14,5 wires,0.003276898,0.060818679
extra_5x5_14-6,14,5 wires,0.004524655,0.12780726
extra_5x5_14-7,14,5 wires,0.002292136,0.144726497
extra_5x5_14-8,14,5 wires,0.010436779,0.60286861
extra_5x5_14-9,14,5 wires,0.02434118,0.712383735
extra_5x5_15-0,15,5 wires,0.000657002,0.056774411
